filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,steps,converged,stalled,source
r5_phi0.60_seed0.npy,1.0,5e-05,2.62e-07,2.01e-06,0.166654275,0.999925651,10,0.609453131,648713.7507,0.000120534,838511.5424,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.0,7e-05,3.66e-07,2.81e-06,0.166649318,0.999895911,10,0.609453131,463353.2635,0.000168752,598919.9169,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.0,0.0001,5.24e-07,4.02e-06,0.166641884,0.999851301,10,0.609453131,324332.8973,0.000241086,419226.1973,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.0,0.0003,1.57e-06,1.21e-05,0.166592317,0.999553904,10,0.609453131,108078.9871,0.000723472,139702.6288,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.1,1e-06,5.24e-09,3.5e-08,0.199999702,0.999998512,10,0.609453131,42808471.73,1.75e-06,57800006.14,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.1,5e-06,2.62e-08,1.75e-07,0.199998512,0.999992559,10,0.609453131,8561643.714,8.74e-06,11559935.05,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.1,1e-05,5.24e-08,3.5e-07,0.199997024,0.999985118,10,0.609453131,4280790.207,1.75e-05,5779926.164,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.1,3e-05,1.57e-07,1.05e-06,0.199991071,0.999955353,10,0.609453131,1426887.867,5.25e-05,1926586.904,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.1,5e-05,2.62e-07,1.75e-06,0.199985118,0.999925589,10,0.609453131,856107.3976,8.74e-05,1155919.051,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.1,7e-05,3.66e-07,2.45e-06,0.199979165,0.999895824,10,0.609453131,611487.1958,0.000122414,825632.8276,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.1,0.0001,5.24e-07,3.5e-06,0.199970235,0.999851177,10,0.609453131,428022.0434,0.000174885,577918.1595,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.1,0.0003,1.57e-06,1.05e-05,0.199910706,0.999553532,10,0.609453131,142631.7962,0.000524811,192584.2245,1500,True,False,lbm
r3_phi0.55_seed0.npy,0.9,1e-06,5.24e-09,1.06e-08,0.133333132,0.999998494,6,0.543103536,279887029.9,4.77e-07,410013892.0,1500,True,False,lbm
r3_phi0.55_seed0.npy,0.9,5e-06,2.62e-08,5.3e-08,0.133332329,0.999992468,6,0.543103536,55977073.08,2.38e-06,82002291.48,1500,True,False,lbm
r3_phi0.55_seed0.npy,0.9,1e-05,5.24e-08,1.06e-07,0.133331325,0.999984935,6,0.543103536,27988328.5,4.77e-06,41000841.44,1500,True,False,lbm
r3_phi0.55_seed0.npy,0.9,3e-05,1.57e-07,3.18e-07,0.133327307,0.999954806,6,0.543103536,9329165.436,1.43e-05,13666541.4,1500,True,False,lbm
r3_phi0.55_seed0.npy,0.9,5e-05,2.62e-07,5.3e-07,0.13332329,0.999924676,6,0.543103536,5597332.815,2.38e-05,8199681.382,1500,True,False,lbm
r3_phi0.55_seed0.npy,0.9,7e-05,3.66e-07,7.42e-07,0.133319273,0.999894546,6,0.543103536,3997975.973,3.34e-05,5856741.373,1500,True,False,lbm
r3_phi0.55_seed0.npy,0.9,0.0001,5.24e-07,1.06e-06,0.133313247,0.999849352,6,0.543103536,2798458.334,4.77e-05,4099536.36,1500,True,False,lbm
r3_phi0.55_seed0.npy,0.9,0.0003,1.57e-06,3.18e-06,0.133273074,0.999548056,6,0.543103536,932541.9377,0.000143086,1366106.291,1500,True,False,lbm
r3_phi0.55_seed0.npy,1.0,1e-06,5.24e-09,9.37e-09,0.166666416,0.999998494,6,0.543103536,358010111.8,3.37e-07,579648669.0,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.0,5e-06,2.62e-08,4.68e-08,0.166665412,0.999992469,6,0.543103536,71601596.25,1.69e-06,115929043.6,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.0,1e-05,5.24e-08,9.37e-08,0.166664156,0.999984938,6,0.543103536,35800531.91,3.37e-06,57964090.54,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.0,3e-05,1.57e-07,2.81e-07,0.166659136,0.999954815,6,0.543103536,11933155.63,1.01e-05,19320788.43,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.0,5e-05,2.62e-07,4.68e-07,0.166654115,0.999924692,6,0.543103536,7159680.363,1.69e-05,11592128.0,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.0,7e-05,3.66e-07,6.56e-07,0.166649095,0.999894569,6,0.543103536,5113905.243,2.36e-05,8279844.958,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.0,0.0001,5.24e-07,9.37e-07,0.166641564,0.999849385,6,0.543103536,3579573.894,3.37e-05,5795632.666,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.0,0.0003,1.57e-06,2.81e-06,0.166591359,0.999548154,6,0.543103536,1192836.151,0.000101211,1931302.363,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.1,1e-06,5.24e-09,8.52e-09,0.199999699,0.999998494,6,0.543103536,432644337.8,2.56e-07,764652219.8,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.1,5e-06,2.62e-08,4.26e-08,0.199998494,0.999992468,6,0.543103536,86528352.5,1.28e-06,152929532.1,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.1,1e-05,5.24e-08,8.52e-08,0.199996987,0.999984936,6,0.543103536,43263854.5,2.56e-06,76464196.24,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.1,3e-05,1.57e-07,2.56e-07,0.199990962,0.999954809,6,0.543103536,14420855.76,7.67e-06,25487305.62,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.1,5e-05,2.62e-07,4.26e-07,0.199984936,0.999924682,6,0.543103536,8652255.994,1.28e-05,15291927.48,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.1,7e-05,3.66e-07,5.97e-07,0.199978911,0.999894555,6,0.543103536,6179998.945,1.79e-05,10922479.7,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.1,0.0001,5.24e-07,8.52e-07,0.199969873,0.999849364,6,0.543103536,4325806.148,2.56e-05,7645393.861,2000,True,False,lbm
r3_phi0.55_seed0.npy,1.1,0.0003,1.57e-06,2.56e-06,0.199909619,0.999548093,6,0.543103536,1441506.134,7.67e-05,2547704.676,2000,True,False,lbm
r3_phi0.60_seed0.npy,0.9,1e-06,5.24e-09,1.7e-08,0.133333134,0.999998501,6,0.603103496,108758702.7,7.65e-07,140841455.6,1500,True,False,lbm
r3_phi0.60_seed0.npy,0.9,5e-06,2.62e-08,8.5e-08,0.133332334,0.999992507,6,0.603103496,21751612.38,3.82e-06,28168126.23,1500,True,False,lbm
r3_phi0.60_seed0.npy,0.9,1e-05,5.24e-08,1.7e-07,0.133331335,0.999985013,6,0.603103496,10875726.08,7.65e-06,14083960.06,1500,True,False,lbm
